City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
631,Todos Santos,MX,78.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
633,Lazaro Cardenas,MX,78.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
636,Cuyo,PH,76.96,overcast clouds,13.7796,124.39,Cj's Travellers Inn
637,Aporawan,PH,76.96,overcast clouds,13.7796,124.39,Cj's Travellers Inn
647,Alamos,MX,78.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
651,Manadhoo,MV,82.13,broken clouds,-0.6,73.0833,Scoop Guest House
658,Sao Miguel Do Araguaia,BR,85.3,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
659,Moroni,KM,79.59,broken clouds,-11.7022,43.2551,Hotel les Arcades
661,Tabiauea,KI,80.73,moderate rain,3.0707,172.7902,Isles Sunset Lodge
666,Sola,VU,81.45,overcast clouds,-13.8833,167.55,Leumerus Bungalows
671,Djougou,BJ,77.23,scattered clouds,9.7085,1.666,Hotel cathas
673,Camapua,BR,85.3,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
674,Santo Angelo,BR,85.3,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
676,Dhidhdhoo,MV,82.13,broken clouds,-0.6,73.0833,Scoop Guest House
678,Bubaque,GW,77.99,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
681,Saint-Paul,RE,80.19,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
683,Mandalgarh,IN,76.33,clear sky,17.1667,75.9667,Shree Gurubhojanalaya
689,Pontianak,ID,75.9,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
691,Harper,LR,79.36,broken clouds,4.375,-7.7169,Screensaver
694,Palu,ID,75.9,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
697,Tecoanapa,MX,78.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
699,Ternate,ID,75.9,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
700,Barranca De Upia,CO,89.71,broken clouds,8.4234,-76.786,Hotel Boutique El Turista
701,Chiredzi,ZW,82.76,clear sky,-22.2167,30.0,Beitbridge Express Hotel
702,Mogadishu,SO,75.47,scattered clouds,9.4942,50.8122,JABIR HOTEL
703,Mucurapo,TT,86.05,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
711,Saint-Leu,RE,80.19,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
714,Ouadda,CF,76.03,broken clouds,3.8678,17.9892,Motel MBM
715,Scarborough,TT,86.05,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
717,Digha,IN,76.33,clear sky,17.1667,75.9667,Shree Gurubhojanalaya
719,Bom Jesus,BR,85.3,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
724,Muisne,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
727,San Pedro De Macoris,DO,79.16,few clouds,18.55,-70.5,Hotel El Barcon
730,Kesinga,IN,76.33,clear sky,17.1667,75.9667,Shree Gurubhojanalaya
736,Ratnagiri,IN,76.33,clear sky,17.1667,75.9667,Shree Gurubhojanalaya
