City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Touros,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
121,Sinnamary,GF,5.3833,-52.95,80.46,76,37,11.56,moderate rain
122,Neftegorsk,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
123,Port Elizabeth,ZA,-34.5322,20.0403,70.92,68,46,8.05,scattered clouds
124,Kijang,ID,-3.8004,102.2655,75.9,90,99,4.27,overcast clouds
125,Clearwater,US,57.0531,-135.33,37.29,93,75,4.61,mist
126,Kusti,SS,8.5332,28.1004,79.56,20,41,2.89,scattered clouds
127,Galiwinku,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
128,Twentynine Palms,US,57.0531,-135.33,37.29,93,75,4.61,mist
129,Port Hawkesbury,CA,70.4692,-68.5914,-18.17,69,100,5.75,light snow
130,Ko Samui,TH,9.5357,99.9357,81.43,76,57,12.8,broken clouds
131,Xinzhou,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
132,Nikolayevsk-Na-Amure,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
133,Laguna,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
134,Mana,GF,5.3833,-52.95,80.46,76,37,11.56,moderate rain
135,Katsuura,JP,28.3667,129.4833,57.49,91,100,13.0,overcast clouds
136,Soverato,IT,38.685,16.5499,48.15,73,0,13.04,clear sky
137,Butaritari,KI,3.0707,172.7902,80.73,81,41,17.83,moderate rain
138,Namibe,AO,-15.1961,12.1522,73.83,69,76,11.39,broken clouds
139,Mbaiki,CF,3.8678,17.9892,76.03,22,79,2.51,broken clouds
140,Verkh-Suetka,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
141,Khorixas,NA,-26.6481,15.1594,67.73,80,61,0.83,broken clouds
142,Saskylakh,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
143,Shirokiy,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
144,Faya,SA,18.3851,42.4509,57.72,72,9,0.6,clear sky
145,Thompson,CA,70.4692,-68.5914,-18.17,69,100,5.75,light snow
146,Palabuhanratu,ID,-3.8004,102.2655,75.9,90,99,4.27,overcast clouds
147,Khao Wong,TH,9.5357,99.9357,81.43,76,57,12.8,broken clouds
148,Meulaboh,ID,-3.8004,102.2655,75.9,90,99,4.27,overcast clouds
149,Abu Samrah,SY,35.3029,37.1841,50.14,60,100,11.16,overcast clouds
150,Alta Floresta,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
151,Khatanga,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
152,Rimouski,CA,70.4692,-68.5914,-18.17,69,100,5.75,light snow
153,Itaituba,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
154,Skjervoy,NO,70.0311,20.9714,14.0,70,16,19.71,few clouds
155,Saquarema,BR,-8.2578,-49.2647,85.3,67,16,5.64,moderate rain
156,Tazovskiy,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
157,Iqaluit,CA,70.4692,-68.5914,-18.17,69,100,5.75,light snow
158,Almaty,KZ,50.4111,80.2275,-6.79,92,10,1.45,clear sky
159,Kharp,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
160,Hilo,US,57.0531,-135.33,37.29,93,75,4.61,mist
161,Leningradskiy,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
162,Evensk,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
163,Port Lincoln,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
164,Yaan,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
165,Pevek,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
166,Port Macquarie,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
167,Mogok,MM,22.9167,96.5,47.59,64,0,1.99,clear sky
168,Shieli,KZ,50.4111,80.2275,-6.79,92,10,1.45,clear sky
169,Carnarvon,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
170,Avera,PF,-23.1203,-134.9692,77.94,74,100,5.93,overcast clouds
171,Fuerte Olimpo,PY,-21.0415,-57.8738,94.24,39,74,10.71,broken clouds
